Generation,Population Count,Max Fitness,Total Fitness
0,67,1.236795151675508,0
1,83,8.22965345091265,33.13924088003187
2,99,8.380618581451888,139.7320915244912
3,115,8.380618581451888,292.3717208721878
4,131,8.380618581451888,453.3791891441732
5,147,8.380618581451888,538.7873066728683
6,163,8.380618581451888,633.847061066387
7,179,8.380618581451888,711.7519219301947
8,195,8.53180085639156,792.7518664073548
9,211,8.53180085639156,866.45710485981
10,227,8.53180085639156,944.7735358375678
11,243,8.53180085639156,1006.181614193826
12,259,8.53180085639156,1077.5051812547458
13,275,8.53180085639156,1138.9128253222032
14,291,8.53180085639156,1204.7500529295035
15,307,8.53180085639156,1273.5737483324924
16,322,8.380618581451888,1345.2819380685908
17,338,8.380618581451888,1410.967331967752
18,354,8.53180085639156,1477.1071412693318
19,371,8.53180085639156,1543.5482293987895
20,387,8.53180085639156,1611.0462905864233
21,403,8.53180085639156,1678.8471506127357
22,419,8.53180085639156,1744.9858741923154
23,435,8.53180085639156,1811.1239463386926
24,451,8.53180085639156,1877.1130076541338
25,467,8.380618581451888,1944.9119133808435
26,480,8.53180085639156,2010.597958713205
27,495,8.53180085639156,2061.637581576615
28,511,8.53180085639156,2128.531347953292
29,524,8.53180085639156,2191.650551777686
30,539,8.53180085639156,2246.162589787898
31,554,8.53180085639156,2312.9058253228372
32,570,8.53180085639156,2377.8372621469025
33,584,8.53180085639156,2446.0903661316343
34,599,8.683200714747322,2497.4319196951383
35,615,8.683200714747322,2563.7207393886397
36,631,8.683200714747322,2629.25734004028
37,646,8.683200714747322,2698.5669832334015
38,662,8.53180085639156,2761.2324222105462
39,678,8.53180085639156,2827.371580078926
40,692,8.53180085639156,2894.5694481606843
41,707,8.53180085639156,2941.3798759249903
42,719,8.53180085639156,3011.2938134900555
43,735,8.53180085639156,3064.295765906076
44,748,8.53180085639156,3130.434706630054
45,760,8.53180085639156,3179.50874277485
46,775,8.53180085639156,3234.022735084667
47,790,8.53180085639156,3301.221689327443
48,803,8.53180085639156,3369.626626581299
49,818,8.683200714747322,3420.513330892597
Data End
